cmapSize, cmapNo, bufferSize, decayFactor, rebuildThreshold, ed, mem
10, 10, 10, 0.5, 0.7, 0.2713090209258545, 4872
10, 10, 10, 1.0, 0.01, 0.0970991754648333, 9672
10, 10, 10, 1.0, 0.09, 0.09543449011890896, 9672
10, 10, 10, 1.0, 0.3, 0.10041459919876092, 9672
10, 10, 10, 1.0, 0.5, 0.2713090209258545, 6792
10, 10, 10, 1.0, 0.7, 0.2713090209258545, 4872
10, 10, 10, 2.0, 0.01, 0.06511243222242169, 9672
10, 10, 10, 2.0, 0.09, 0.06463888530455696, 9672
10, 10, 10, 2.0, 0.3, 0.08994190768568916, 9672
10, 10, 10, 2.0, 0.5, 0.2713090209258545, 6792
10, 10, 10, 2.0, 0.7, 0.2713090209258545, 4872
10, 10, 10, 2.5, 0.01, 0.06443754205953969, 9672
10, 10, 10, 2.5, 0.09, 0.06472781543600631, 9672
10, 10, 10, 2.5, 0.3, 0.07108343644388938, 9672
10, 10, 10, 2.5, 0.5, 0.2713090209258545, 6792
10, 10, 10, 2.5, 0.7, 0.2713090209258545, 4872
10, 10, 30, 0.2, 0.01, 0.10799282643540414, 9672
10, 10, 30, 0.2, 0.09, 0.0994635999784488, 9672
10, 10, 30, 0.2, 0.3, 0.09698857269029053, 9672
10, 10, 30, 0.2, 0.5, 0.2713090209258545, 4872
10, 10, 30, 0.2, 0.7, 0.2713090209258545, 2952
10, 10, 30, 0.5, 0.01, 0.1008482023676761, 9672
10, 10, 30, 0.5, 0.09, 0.10062207862691055, 9672
10, 10, 30, 0.5, 0.3, 0.08120000831423481, 9672
10, 10, 30, 0.5, 0.5, 0.2713090209258545, 4872
10, 10, 30, 0.5, 0.7, 0.2713090209258545, 2952
10, 10, 30, 1.0, 0.01, 0.07687355468151244, 9672
10, 10, 30, 1.0, 0.09, 0.0828002855450918, 9672
10, 10, 30, 1.0, 0.3, 0.059505838606409615, 9672
10, 10, 30, 1.0, 0.5, 0.2713090209258545, 4872
